rain_country_state; rain; temp_country_state; temp
Juneau, Alaska; 5.76; Honolulu, Hawaii; 25.03
Baton Rouge, Louisiana; 4.93; Phoenix, Arizona; 22.36
Atlanta, Georgia; 4.65; Tallahassee, Florida; 20.80
Jackson, Mississippi; 4.62; Austin, Texas; 20.41
Tallahassee, Florida; 4.36; Baton Rouge, Louisiana; 19.86
Hartford, Connecticut; 4.05; Montgomery, Alabama; 18.91
Montgomery, Alabama; 4.01; Columbia, South Carolina; 18.12
Columbia, South Carolina; 3.97; Jackson, Mississippi; 18.12
Nashville, Tennessee; 3.96; Sacramento, California; 16.70
Richmond, Virginia; 3.89; Atlanta, Georgia; 16.32
Little Rock, Arkansas; 3.77; Little Rock, Arkansas; 15.95
Raleigh, North Carolina; 3.66; Raleigh, North Carolina; 15.51
Frankfort, Kentucky; 3.64; Oklahoma City, Oklahoma; 15.49
Charleston, Virginia Occidentale; 3.55; Nashville, Tennessee; 15.32
Madison, Wisconsin; 3.46; Richmond, Virginia; 15.24
Albany, New York; 3.42; Annapolis, Maryland; 13.54
Providence, Rhode Island; 3.38; Charleston, Virginia Occidentale; 13.05
Oklahoma City, Oklahoma; 3.30; Jefferson City, Missouri; 12.77
Augusta, Maine; 3.25; Frankfort, Kentucky; 12.55
Lansing, Michigan; 3.25; Carson City, Nevada; 12.45
Harrisburg, Pennsylvania; 3.18; Trenton, New Jersey; 12.17
Trenton, New Jersey; 3.17; Topeka, Kansas; 12.06
Montpelier, Vermont; 3.15; Salem, Oregon; 12.02
Olympia, Washington; 3.11; Salt Lake City, Utah; 11.90
Indianapolis, Indiana; 3.10; Harrisburg, Pennsylvania; 11.88
Jefferson City, Missouri; 3.05; Boston, Massachusetts; 11.26
Concord, New Hampshire; 3.02; Providence, Rhode Island; 11.16
Boston, Massachusetts; 2.80; Springfield, Illinois; 11.16
Springfield, Illinois; 2.78; Boise, Idaho; 11.11
Annapolis, Maryland; 2.57; Indianapolis, Indiana; 11.06
Columbus, Ohio; 2.56; Columbus, Ohio; 11.04
Saint Paul, Minnesota; 2.50; Santa Fe, Nuovo Messico; 10.88
Des Moines, Iowa; 2.34; Hartford, Connecticut; 10.52
Bismark, North Dakota; 2.11; Olympia, Washington; 10.51
Austin, Texas; 2.02; Lincoln, Nebraska; 10.24
Topeka, Kansas; 1.99; Denver, Colorado; 9.63
Lincoln, Nebraska; 1.93; Albany, New York; 9.41
Salem, Oregon; 1.83; Des Moines, Iowa; 9.05
Pierre, South Dakota; 1.66; Lansing, Michigan; 8.77
Helena, Montana; 1.50; Concord, New Hampshire; 8.09
Honolulu, Hawaii; 1.41; Helena, Montana; 8.09
Cheyenne, Wyoming; 1.37; Cheyenne, Wyoming; 7.82
Denver, Colorado; 1.35; Madison, Wisconsin; 7.76
Salt Lake City, Utah; 1.01; Augusta, Maine; 7.74
Santa Fe, Nuovo Messico; 0.97; Saint Paul, Minnesota; 7.51
Phoenix, Arizona; 0.77; Pierre, South Dakota; 7.47
Boise, Idaho; 0.76; Montpelier, Vermont; 6.16
Sacramento, California; 0.45; Juneau, Alaska; 5.91
Carson City, Nevada; 0.30; Bismark, North Dakota; 5.32
