rainest_day; rainest_month; max_rain; less_rainy_day; less_rainy_month; min_rain; hotter_month; max_temp; colder_month; min_temp; month_rain; monthly_rain_value; month_temp; monthly_temp_value
06; Ottobre; 41.15; 16; Febbraio; 1.52; Settembre; 35.00; Gennaio; -15.00; Gennaio; 1.77; Gennaio; -0.70
-; -; -; -; -; -; -; -; -; -; Febbraio; 1.43; Febbraio; -1.34
-; -; -; -; -; -; -; -; -; -; Marzo; 2.70; Marzo; 2.19
-; -; -; -; -; -; -; -; -; -; Aprile; 2.96; Aprile; 11.26
-; -; -; -; -; -; -; -; -; -; Maggio; 1.66; Maggio; 18.15
-; -; -; -; -; -; -; -; -; -; Giugno; 2.87; Giugno; 21.65
-; -; -; -; -; -; -; -; -; -; Luglio; 5.09; Luglio; 23.39
-; -; -; -; -; -; -; -; -; -; Agosto; 1.71; Agosto; 22.11
-; -; -; -; -; -; -; -; -; -; Settembre; 2.45; Settembre; 18.69
-; -; -; -; -; -; -; -; -; -; Ottobre; 3.76; Ottobre; 12.53
-; -; -; -; -; -; -; -; -; -; Novembre; 1.72; Novembre; 4.11
-; -; -; -; -; -; -; -; -; -; Dicembre; 2.74; Dicembre; 0.47
