rainest_day; rainest_month; max_rain; less_rainy_day; less_rainy_month; min_rain; hotter_month; max_temp; colder_month; min_temp; month_rain; monthly_rain_value; month_temp; monthly_temp_value
26; Giugno; 68.96; 26; Marzo; 1.52; Luglio; 34.44; Febbraio; -14.44; Gennaio; 4.22; Gennaio; 2.15
-; -; -; -; -; -; -; -; -; -; Febbraio; 1.55; Febbraio; 2.22
-; -; -; -; -; -; -; -; -; -; Marzo; 4.20; Marzo; 3.71
-; -; -; -; -; -; -; -; -; -; Aprile; 3.01; Aprile; 12.44
-; -; -; -; -; -; -; -; -; -; Maggio; 4.05; Maggio; 18.55
-; -; -; -; -; -; -; -; -; -; Giugno; 5.42; Giugno; 22.76
-; -; -; -; -; -; -; -; -; -; Luglio; 6.65; Luglio; 23.41
-; -; -; -; -; -; -; -; -; -; Agosto; 1.34; Agosto; 23.51
-; -; -; -; -; -; -; -; -; -; Settembre; 1.84; Settembre; 20.65
-; -; -; -; -; -; -; -; -; -; Ottobre; 5.02; Ottobre; 13.51
-; -; -; -; -; -; -; -; -; -; Novembre; 2.28; Novembre; 5.30
-; -; -; -; -; -; -; -; -; -; Dicembre; 4.33; Dicembre; 2.42
