day; Tmax; Tmin; Tavg
01; 29.31; 17.81; 23.78
02; 29.31; 17.38; 23.55
03; 29.08; 17.82; 23.66
04; 29.00; 16.95; 23.13
05; 29.02; 16.70; 22.98
06; 29.65; 17.47; 23.68
07; 29.25; 18.10; 23.79
08; 29.23; 19.01; 24.16
09; 28.97; 18.66; 23.92
10; 29.54; 17.26; 23.54
11; 29.44; 17.26; 23.54
12; 29.67; 17.98; 23.97
13; 28.20; 16.80; 22.52
14; 27.00; 15.31; 21.36
15; 27.24; 14.99; 21.30
16; 27.87; 15.17; 21.73
17; 28.24; 15.90; 22.23
18; 28.39; 16.36; 22.48
19; 29.78; 17.23; 23.68
20; 31.17; 17.90; 24.60
21; 31.04; 18.45; 24.82
22; 30.35; 18.34; 24.55
23; 29.59; 17.63; 23.71
24; 29.65; 17.14; 23.55
25; 30.02; 17.06; 23.68
26; 30.49; 18.24; 24.52
27; 31.39; 18.99; 25.41
28; 31.12; 18.98; 24.78
29; 30.92; 19.10; 24.73
30; 32.02; 18.96; 25.17
31; 30.39; 18.59; 22.09
