day; Tmax; Tmin; Tavg
01; 15.08; 2.99; 9.22
02; 12.64; 0.75; 6.75
03; 13.30; 1.36; 7.41
04; 14.35; 2.37; 8.56
05; 17.07; 3.46; 10.44
06; 17.14; 4.00; 10.74
07; 18.95; 5.11; 12.24
08; 19.57; 6.76; 13.42
09; 19.14; 7.11; 13.24
10; 17.88; 6.73; 12.26
11; 15.67; 5.41; 10.69
12; 13.79; 4.42; 9.38
13; 16.34; 3.76; 10.32
14; 16.67; 4.86; 11.04
15; 16.54; 6.01; 11.54
16; 17.39; 7.41; 12.35
17; 18.15; 7.24; 12.55
18; 17.66; 5.56; 11.55
19; 17.79; 4.61; 11.27
20; 15.24; 3.12; 9.39
21; 16.47; 2.99; 10.03
22; 16.86; 3.62; 10.36
23; 15.67; 3.55; 9.72
24; 18.80; 3.71; 11.39
25; 18.72; 5.05; 12.22
26; 20.29; 5.44; 13.20
27; 21.38; 7.41; 14.75
28; 22.15; 8.95; 15.50
29; 22.60; 9.84; 16.04
30; 21.03; 9.31; 13.34
