day; Tmax; Tmin; Tavg
01; 10.90; -0.03; 5.57
02; 11.55; 1.49; 6.66
03; 10.75; 0.44; 5.62
04; 9.65; -0.09; 4.78
05; 7.55; -2.64; 2.00
06; 3.83; -4.64; -0.39
07; 0.01; -7.61; -3.28
08; -0.08; -6.80; -3.05
09; 1.46; -6.60; -2.20
10; 2.86; -7.04; -2.01
11; 3.02; -8.34; -2.49
12; 2.95; -8.13; -2.15
13; 4.88; -6.13; -0.18
14; 3.98; -3.76; -0.24
15; 4.92; -4.69; 0.27
16; 6.41; -5.80; 0.92
17; 6.58; -5.44; 0.68
18; 8.27; -4.85; 2.55
19; 9.44; -2.38; 3.80
20; 9.18; -0.56; 4.37
21; 10.12; 1.79; 5.33
22; 9.57; 0.32; 4.29
23; 5.86; -3.81; 0.76
24; 3.93; -6.84; -0.59
25; 3.90; -6.07; -0.57
26; 6.62; -4.07; 1.61
27; 8.81; -3.70; 2.70
28; 10.41; -2.97; 2.97
29; 6.90; -3.75; 1.36
30; 5.34; -5.10; 1.09
31; -0.35; -2.98; -1.67
