day; Tmax; Tmin; Tavg
01; 3.68; -6.94; -1.22
02; 5.87; -5.80; 0.31
03; 6.11; -3.82; 1.38
04; 6.83; -3.65; 2.10
05; 8.93; -1.93; 3.44
06; 10.16; -1.46; 4.78
07; 7.99; -1.07; 3.39
08; 6.81; -1.39; 2.80
09; 6.17; -3.24; 1.93
10; 8.90; -2.53; 3.36
11; 8.97; -1.29; 3.81
12; 8.67; -0.15; 4.26
13; 9.02; -0.78; 4.30
14; 9.04; -1.89; 3.54
15; 9.16; -2.98; 3.03
16; 6.71; -3.40; 1.61
17; 6.98; -4.80; 1.61
18; 8.57; -4.72; 1.97
19; 6.81; -3.92; 1.28
20; 4.31; -4.82; -0.01
21; 4.99; -4.06; 1.10
22; 6.62; -2.09; 2.56
23; 7.04; -1.39; 2.71
24; 8.58; -1.68; 3.48
25; 8.30; -1.50; 3.96
26; 7.85; -0.42; 3.48
27; 7.96; 0.03; 3.56
28; 7.11; -0.05; 3.17
