day; Tmax; Tmin; Tavg
01; 3.34; -5.45; -0.92
02; 1.94; -6.34; -2.00
03; 2.07; -7.73; -3.11
04; 4.80; -6.21; -0.96
05; 5.07; -5.40; -0.45
06; 6.32; -4.01; 1.32
07; 7.02; -4.09; 1.73
08; 9.58; -2.90; 3.53
09; 10.93; -0.74; 5.27
10; 10.51; 1.43; 6.34
11; 10.05; 0.74; 5.33
12; 8.81; -0.27; 3.96
13; 6.15; -2.53; 1.81
14; 5.14; -4.14; 0.68
15; 4.56; -4.13; 0.57
16; 5.83; -2.72; 1.95
17; 6.81; -3.53; 1.93
18; 7.28; -4.61; 1.59
19; 10.18; -3.53; 2.94
20; 7.66; -4.77; 0.86
21; 2.69; -7.37; -2.32
22; 1.60; -8.39; -2.88
23; 3.27; -7.88; -2.12
24; 3.32; -6.35; -1.05
25; 4.82; -4.26; 0.93
26; 5.92; -4.06; 1.50
27; 7.70; -2.64; 3.49
28; 9.78; 0.50; 5.80
29; 11.97; 1.35; 6.55
30; 12.02; -1.30; 4.46
31; 6.67; -4.64; 0.74
