day; Tmax; Tmin; Tavg
01; 27.79; 15.70; 21.85
02; 26.73; 14.99; 21.01
03; 25.60; 13.62; 19.76
04; 25.10; 12.99; 19.22
05; 25.50; 13.10; 19.43
06; 25.18; 13.98; 19.72
07; 24.51; 14.24; 19.49
08; 26.80; 14.48; 20.77
09; 28.03; 15.39; 21.85
10; 27.68; 16.10; 22.03
11; 28.55; 16.97; 22.94
12; 29.20; 17.23; 23.36
13; 27.43; 15.69; 21.62
14; 27.41; 14.93; 21.29
15; 28.56; 14.89; 21.87
16; 29.10; 16.16; 22.79
17; 29.82; 16.87; 23.48
18; 27.45; 15.79; 21.77
19; 27.45; 15.11; 21.43
20; 28.51; 15.42; 22.11
21; 29.33; 16.37; 23.06
22; 29.73; 17.17; 23.53
23; 29.75; 17.80; 23.96
24; 30.20; 18.92; 24.73
25; 30.86; 19.15; 25.18
26; 30.92; 19.21; 25.19
27; 31.04; 19.23; 25.27
28; 31.24; 18.97; 25.16
29; 30.19; 18.76; 24.56
30; 29.98; 18.05; 23.25
