day; Tmax; Tmin; Tavg
01; 29.12; 18.07; 23.72
02; 29.14; 17.68; 23.55
03; 30.12; 17.81; 24.12
04; 30.49; 18.78; 24.75
05; 30.43; 19.29; 25.00
06; 30.75; 19.66; 25.34
07; 31.61; 19.59; 25.69
08; 31.08; 19.89; 25.66
09; 31.89; 20.25; 26.20
10; 31.26; 19.37; 25.49
11; 29.85; 18.78; 24.43
12; 29.38; 17.82; 23.75
13; 29.83; 17.83; 23.98
14; 31.46; 18.90; 25.31
15; 31.66; 19.74; 25.87
16; 32.24; 20.14; 26.35
17; 33.08; 20.35; 26.77
18; 33.57; 20.93; 27.38
19; 33.25; 20.74; 27.15
20; 31.61; 19.78; 25.83
21; 30.36; 18.98; 24.84
22; 30.54; 19.41; 25.15
23; 30.28; 19.40; 24.94
24; 29.52; 17.49; 23.64
25; 28.15; 16.66; 22.52
26; 28.54; 16.54; 22.76
27; 27.52; 16.16; 22.00
28; 27.44; 16.11; 21.96
29; 28.15; 16.67; 22.57
30; 28.76; 16.96; 23.02
31; 28.65; 17.49; 21.79
