day; Tmax; Tmin; Tavg
01; 20.99; 7.81; 14.51
02; 20.11; 6.96; 13.67
03; 18.48; 6.51; 12.68
04; 18.81; 6.29; 12.73
05; 19.43; 6.68; 13.24
06; 21.39; 8.06; 14.90
07; 23.21; 9.38; 16.42
08; 23.59; 10.50; 17.15
09; 23.45; 10.86; 17.27
10; 23.89; 10.78; 17.38
11; 22.32; 10.92; 16.81
12; 21.47; 7.89; 15.05
13; 22.34; 7.44; 15.02
14; 25.41; 9.23; 17.46
15; 26.04; 11.96; 19.12
16; 26.18; 13.49; 19.93
17; 24.54; 12.80; 18.91
18; 24.68; 13.21; 18.92
19; 24.23; 13.85; 19.08
20; 25.42; 14.13; 19.94
21; 25.33; 13.62; 19.78
22; 23.71; 13.00; 18.48
23; 23.44; 11.95; 18.07
24; 22.23; 10.10; 16.32
25; 21.56; 9.67; 15.67
26; 23.16; 10.86; 17.31
27; 24.25; 11.44; 18.10
28; 25.35; 13.17; 19.50
29; 25.84; 15.26; 20.16
30; 27.82; 15.79; 20.98
31; 26.19; 14.89; 18.59
