day; Tmax; Tmin; Tavg
01; 7.17; -0.51; 3.49
02; 7.09; -2.00; 2.73
03; 7.68; -2.18; 3.07
04; 9.15; -2.28; 3.34
05; 9.09; -1.27; 4.34
06; 7.46; -1.11; 3.50
07; 9.66; -1.33; 4.10
08; 11.01; -1.03; 5.12
09; 13.07; 0.80; 6.97
10; 13.38; 1.20; 7.51
11; 12.46; 1.36; 6.88
12; 11.80; 1.05; 6.93
13; 11.67; -0.74; 5.82
14; 12.99; -0.42; 6.70
15; 15.40; 0.16; 7.80
16; 13.31; 1.86; 7.36
17; 9.76; 0.61; 5.10
18; 10.42; -0.58; 5.15
19; 10.57; -0.32; 5.25
20; 9.22; -1.80; 3.75
21; 7.43; -2.61; 2.44
22; 8.00; -2.07; 2.79
23; 8.93; -0.78; 4.08
24; 8.07; -1.17; 3.63
25; 7.60; -1.47; 3.67
26; 10.23; -0.66; 5.11
27; 12.87; -0.49; 6.61
28; 14.92; 1.37; 8.37
29; 16.97; 2.41; 9.74
30; 16.90; 3.93; 10.36
31; 16.28; 4.24; 9.51
