day; Tmax; Tmin; Tavg
01; 18.55; 7.68; 13.20
02; 17.24; 4.69; 11.17
03; 13.79; 2.26; 8.23
04; 12.57; 2.04; 7.41
05; 13.92; 3.92; 9.07
06; 16.05; 4.55; 10.41
07; 15.28; 3.30; 9.23
08; 13.59; 1.71; 7.69
09; 14.48; 1.90; 8.33
10; 15.25; 3.05; 9.23
11; 14.33; 0.98; 7.54
12; 11.07; -1.43; 5.06
13; 9.94; -2.32; 4.49
14; 13.57; -0.43; 6.94
15; 14.48; 1.75; 8.65
16; 16.02; 5.68; 11.16
17; 16.36; 6.44; 11.34
18; 15.73; 4.41; 9.17
19; 12.00; 1.45; 6.71
20; 10.54; 0.27; 5.84
21; 10.11; 0.52; 5.03
22; 9.99; 0.76; 4.30
23; 6.95; -2.99; 1.28
24; 3.34; -5.56; -0.54
25; 5.41; -3.70; 0.99
26; 7.24; -1.73; 2.34
27; 7.66; -3.50; 1.95
28; 6.21; -4.64; 1.39
29; 8.59; -4.61; 2.41
30; 10.10; -2.02; 3.04
