day; Tmax; Tmin; Tavg
01; 25.36; 11.66; 18.64
02; 25.65; 12.61; 19.27
03; 24.14; 13.14; 18.66
04; 23.22; 12.45; 17.81
05; 22.29; 11.05; 16.87
06; 21.26; 9.40; 15.44
07; 22.66; 9.06; 15.91
08; 21.36; 7.88; 14.88
09; 20.94; 8.12; 14.67
10; 21.11; 8.40; 14.84
11; 22.00; 9.93; 16.25
12; 21.11; 9.14; 15.44
13; 20.27; 8.80; 14.27
14; 18.92; 8.23; 13.64
15; 18.55; 8.20; 13.46
16; 17.94; 7.97; 12.97
17; 18.15; 7.62; 12.94
18; 16.89; 6.02; 11.45
19; 17.19; 5.36; 11.43
20; 17.55; 5.07; 11.52
21; 17.40; 3.82; 10.67
22; 16.90; 4.76; 10.90
23; 15.12; 3.57; 9.44
24; 14.16; 2.69; 8.41
25; 14.78; 1.81; 8.70
26; 15.59; 2.11; 8.98
27; 17.12; 2.98; 10.25
28; 15.61; 3.82; 9.88
29; 14.73; 4.86; 9.86
30; 16.19; 6.19; 10.74
31; 17.11; 6.83; 10.39
