day; Tmax; Tmin; Tavg
01; 30.14; 19.02; 24.73
02; 29.07; 18.37; 23.87
03; 29.18; 16.78; 23.12
04; 29.72; 16.32; 23.14
05; 29.07; 16.20; 22.77
06; 29.01; 15.45; 22.36
07; 30.12; 15.80; 23.12
08; 29.22; 16.43; 22.94
09; 29.41; 16.07; 22.89
10; 29.97; 18.02; 24.13
11; 31.34; 18.55; 25.10
12; 28.88; 17.45; 23.31
13; 25.68; 14.37; 20.17
14; 24.56; 12.45; 18.63
15; 25.37; 12.21; 18.98
16; 24.72; 13.39; 19.16
17; 24.42; 12.56; 18.62
18; 26.24; 13.64; 20.07
19; 26.58; 13.79; 20.32
20; 25.79; 12.87; 19.49
21; 24.18; 12.79; 18.62
22; 23.50; 11.67; 17.60
23; 22.47; 10.34; 16.58
24; 23.29; 10.79; 17.31
25; 23.42; 10.90; 17.26
26; 23.88; 11.63; 17.73
27; 23.10; 11.49; 17.49
28; 23.84; 10.86; 17.59
29; 22.47; 10.18; 16.54
30; 23.68; 11.05; 17.12
